공간정보일련번호,지형지물명,등록구,관리기관,명칭,구경,형식,최대유량,가설일자,급수계통,작동상태,맨홀지형지물부호,맨홀등록구,용도
230,유량계,사상구,북부사업소,지역유량계,150,터어빈형,,1999-01-01,엄궁배수지,양호,상수맨홀,사상구,권역
231,유량계,사하구,시설관리사업소,하단3,1650,초음파식,0,2022-02-22,,양호,상수맨홀,사하구,권역
234,유량계,중구,중동부사업소,22블록유량계,300,초음파식,278494.16,2003-10-08,복병산배수지,양호,,중구,블록
235,유량계,사하구,사하사업소,5-1블록유량계,200,전자식,579,2024-06-17,당리부스터,양호,,사하구,블록
236,유량계,중구,중동부사업소,18블록유량계,250,초음파식,2547,2003-11-18,영주배수지,양호,,중구,블록
237,유량계,서구,서부사업소,17블록 유량계,250,초음파식,278231.95,2018-04-03,아미배수지,양호,,서구,블록
239,유량계,사하구,사하사업소,13블럭 유량계,200,전자식,278056.8,2018-04-13,덕산정수장(생활직송),양호,상수맨홀,사하구,블록
240,유량계,사하구,시설관리사업소,구역유량계,150,초음파식,,1998-01-01,덕산정수장(생활직송),양호,상수맨홀,사하구,기타
241,유량계,사하구,시설관리사업소,구역유량계,150,터어빈형,,1997-01-01,덕산정수장(생활직송),양호,상수맨홀,사하구,기타
242,유량계,부산진구,부산진사업소,20블록 유량계,200,전자식,,2016-11-14,전포1배수지,양호,,부산진구,블록
463,유량계,기장군,시설관리사업소,고촌,500,초음파식,0,2020-03-16,명장정수장(가압),양호,,기장군,권역
464,유량계,연제구,동래통합사업소,연동시장 전용 유량계,50,익차형,0,2016-05-09,덕천가압장(시내),양호,상수맨홀,연제구,기타
465,유량계,사하구,사하사업소,39-1블록 유량계,100,전자식,278500.99,2021-02-23,당리부스터,양호,,사하구,블록
466,유량계,사하구,사하사업소,40블록 유량계,300,초음파식,0,2022-03-17,사상가압장(기설),양호,,사하구,블록
467,유량계,금정구,동래통합사업소,제16블록 유량계,300,초음파식,,2015-10-05,덕천가압장(시내),양호,상수맨홀,금정구,블록
468,유량계,부산진구,부산진사업소,5-1유량계,250,초음파식,0,2018-11-28,당감가압장,양호,,부산진구,블록
469,유량계,부산진구,부산진사업소,21블록 유량계,150,전자식,0,2024-04-05,전포1배수지,양호,,부산진구,블록
470,유량계,해운대구,시설관리사업소,좌동1배수지 유입,1200,초음파식,0,2011-03-30,덕천가압장(시내),양호,,해운대구,배수지
471,유량계,기장군,기장사업소,10블록 유량계,300,전자식,0,2017-03-22,좌동2배수지,양호,,기장군,블록
472,유량계,중구,중동부사업소,21블록 비교 측정용 유량계,250,터어빈형,0,2012-05-25,복병산배수지,양호,,중구,블록(보조)
473,유량계,강서구,시설관리사업소,녹산배수지,800,전자식,,2016-10-28,덕산정수장(생활직송),양호,상수맨홀,강서구,권역
474,유량계,중구,시설관리사업소,영도대교1(미사용),700,초음파식,0,1997-05-01,사상가압장(기설),양호,상수맨홀,중구,기타
476,유량계,기타,시설관리사업소,신항배후2,250,초음파식,1700,2022-02-22,부산신항배수지,양호,,강서구,권역
477,유량계,해운대구,해운대사업소,우1동 제23블록유량계,300,초음파식,0,2022-06-28,덕천가압장(시내),양호,상수맨홀,해운대구,블록
479,유량계,기장군,기장사업소,12블록 유량계,200,전자식,12,2015-10-20,고촌배수지,양호,,,블록
480,유량계,동래구,명장정수사업소,제2정수지 유입유량계,1500,초음파식,0,2004-12-01,명장정수장(가압),양호,,동래구,기타
481,유량계,해운대구,해운대사업소,석대동 제9블록 유량계,150,전자식,0,2022-06-28,명장정수장(가압),양호,상수맨홀,해운대구,블록
482,유량계,중구,시설관리사업소,영도대교,1000,초음파식,0,2018-12-12,덕산정수장(생활직송),양호,,,권역
484,유량계,해운대구,해운대사업소,좌4동 제28블록 유량계,800,삽입터어빈실,286718.52,2009-12-31,좌동2배수지,양호,상수맨홀,해운대구,블록
485,유량계,해운대구,해운대사업소,좌3동 제28-1블록 유량계,700,초음파식,0,2023-12-11,덕천가압장(시내),양호,상수맨홀,해운대구,블록
486,유량계,동래구,시설관리사업소,원동교,800,초음파식,0,2016-12-15,,양호,,,권역
487,유량계,영도구,영도사업소,21블록 유량계,300,전자식,277101.48,2014-06-02,해돋이배수지,양호,상수맨홀,영도구,블록
315,유량계,해운대구,해운대사업소,반송2동 제4블록 유량계,250,초음파식,292653.26,2017-05-01,신반송가압장,양호,상수맨홀,해운대구,블록
316,유량계,기장군,기장사업소,5블록 유량계,250,전자식,293884.05,2017-03-22,좌동2배수지,양호,,기장군,블록
317,유량계,기장군,기장사업소,6블록 유량계,300,초음파식,294646.47,2024-03-26,좌동2배수지,양호,,기장군,블록
318,유량계,기장군,기장사업소,7-1블록 유량계,200,전자식,0,2017-03-22,좌동2배수지,양호,,기장군,블록
319,유량계,연제구,동래통합사업소,37블록 유량계,250,전자식,0,2021-06-04,명장배수지,양호,상수맨홀,연제구,블록
320,유량계,수영구,남부사업소,제 1블록 유량계,200,전자식,0,2020-05-20,망미가압장,양호,,수영구,블록
321,유량계,부산진구,부산진사업소,기계식,200,터어빈형,0,2006-01-01,거제배수지,양호,,부산진구,블록(보조)
322,유량계,연제구,동래통합사업소,43블록 유량계,250,초음파식,0,2022-05-18,명장정수장(직송),양호,상수맨홀,연제구,블록
323,유량계,북구,북부사업소,19블록 유량계,250,초음파식,290261.91,2023-04-03,덕천가압장(시내),양호,상수맨홀,북구,블록
324,유량계,부산진구,부산진사업소,19-1블록 유량계,200,전자식,0,2018-03-19,전포1배수지,양호,,,블록
325,유량계,연제구,시설관리사업소,거양교회,300,터어빈형,,2011-03-01,사상가압장(신설),양호,상수맨홀,연제구,권역
326,유량계,부산진구,부산진사업소,22블록유량계,250,초음파식,0,2025-03-19,연산배수지,양호,,부산진구,블록
