번호,시군구명,동명,리명,도로명,교차로명,경도,위도
204,기장군,철마면,웅천리,,소산마을 입구,129.1687082,35.29958797
205,기장군,철마면,송정리,,입석마을 정류소,129.1147165,35.31054514
206,기장군,철마면,이곡리,,이곡마을 입구,129.1689345,35.27374459
207,기장군,철마면,와여리,,와여마을 버스정류장,129.1516107,35.27802914
208,기장군,정관읍,매학리,,진짜순대 앞,129.1786328,35.32265787
209,금정구,서동,,개좌로 28,금사동 제일병원앞,129.1091467,35.21570269
210,금정구,회동동,,,회동동 정관진입도로2지점,129.1288397,35.23530152
211,금정구,회동동,,,회동 초등학교,129.1212634,35.22993178
212,금정구,금사동,,금사로 144,조일약국,129.1157907,35.22523938
213,해운대구,좌동,,,,129.1800440,35.16771244
214,해운대구,송정동,,,,129.2004732,35.18274036
215,해운대구,송정동,,,,129.2001838,35.18275760
216,해운대구,송정동,,,,129.1997940,35.18215495
217,해운대구,송정동,,송정1로 5,,129.2000203,35.18205183
218,해운대구,송정동,,송정1로 5,,129.1998859,35.18185766
219,해운대구,송정동,,,,129.1996089,35.18197402
220,해운대구,송정동,,,,129.1996175,35.18190091
221,해운대구,반송동,,,청년회방범초소앞,129.1526626,35.22987251
222,금정구,청룡동,,,범어사정수지소,129.0884651,35.27916480
223,금정구,부곡동,,,부산대지하철역 2번출구,129.0897380,35.22913016
224,금정구,부곡동,,장전온천천로 73,부산대입구사거리,129.0895457,35.23103088
225,금정구,서동,,,서동고개,129.0954570,35.21740597
226,기장군,기장읍,청강리,,24시돼지국밥 옆,129.2205428,35.24070672
227,금정구,오륜동,,,오륜동입구,129.1018006,35.24716549
228,금정구,서동,,,서동 뉴그린 아파트,129.0992217,35.21949623
229,금정구,부곡동,,중앙대로 1770,부곡SK아파트,129.0925700,35.24157201
230,수영구,광안동,,연수로 399-1,목련장여관 앞,129.1129418,35.16821945
231,연제구,연산동,,,동암학교 입구,129.1025979,35.18198039
232,동래구,안락동,,,월륜교차로1,129.1133532,35.18457135
233,연제구,연산동,,,동서 그린 아파트 입구,129.1024142,35.18310926
234,금정구,구서동,,체육공원로 33,동래초등학교,129.0971318,35.24782032
235,금정구,청룡동,,청룡예전로 74,경동아파트B지점,129.0858331,35.27914002
236,금정구,청룡동,,,유성장 모텔,129.0888507,35.27548559
237,금정구,청룡동,,청룡예전로 74,경동아파트후문,129.0859932,35.27913976
238,금정구,부곡동,,,부산대역 4번출구,129.0895646,35.23020725
239,수영구,광안동,,수영로 691-8,수영교차로 (1),129.1148530,35.16745099
240,해운대구,중동,,,중동 e마트뒷길,129.1664959,35.16609684
241,해운대구,반송동,,,청년회방범초소앞,129.1527173,35.22969358
242,해운대구,우동,,해운대로 428,수영로교회,129.1394959,35.16497104
243,동래구,명륜동,,,명륜PB,129.0827933,35.21052444
244,연제구,연산동,,,연산1동현대아파트,129.0947826,35.18473325
245,사상구,감전동,,새벽시장로 38-6,한동냉장,128.9769982,35.15582881
246,수영구,광안동,,,소문난갈비탕,129.1088325,35.17074389
247,연제구,연산동,,,미천연산삼성타워,129.0890872,35.17880338
248,연제구,연산동,,,미천연산삼성타워,129.0889159,35.17902702
249,연제구,연산동,,신금로17번길 30-10,연신초교앞,129.0935158,35.19177746
250,강서구,대저2동,,,대저중앙초등학교 옆,128.9272857,35.15692821
251,부산진구,당감동,,당감서로 137,당감성북교회,129.0329343,35.16731710
252,동래구,안락동,,충렬대로447번길 38,안락군인아파트 앞,129.1092197,35.19911032
253,부산진구,부암동,,,외식1번가 맞은편,129.0497724,35.16084884
254,연제구,연산동,,,연산 고분군 터널 입구,129.0902082,35.18556947
255,부산진구,전포동,,,중앙광장,129.0653279,35.16628384
256,강서구,명지동,,,순아교 옆,128.9161637,35.13490008
257,사상구,감전동,,사상로147번길 16,영신자동차공업사,128.9787927,35.15538722
258,사상구,감전동,,사상로147번길 16,감전1동 새마을금고,128.9800211,35.15517893
259,사상구,삼락동,,낙동대로1210번길 33,삼락교,128.9772953,35.16792504
260,사상구,괘법동,,낙동대로1210번길 33,동양한신APT 206동,128.9779569,35.16784532
261,사상구,덕포동,,,괘법한신유치원,128.9803422,35.16853764
262,사상구,삼락동,,낙동대로1264번길 33,삼락천 18호교,128.9794090,35.17280016
263,강서구,봉림동,,,한국농어촌공사 봉림출장소,128.9025466,35.18535134
264,강서구,대저2동,,,성리포장 앞,128.9261732,35.16545225
265,동구,범일동,,안창로 11-1,사천상회(안창마을),129.0471542,35.14506755
266,해운대구,중동,,좌동순환로 511,중동지하차도(중동역12번출구),129.1674356,35.16661763
267,강서구,대저2동,,,대저배수펌프장 앞,128.9602589,35.18942834
268,강서구,명지동,,제도로 230,순아교 옆,128.9161777,35.13417967
269,강서구,명지동,,제도로 230,순아교 옆,128.9160004,35.13433680
