번호,시군구명,동명,리명,도로명,교차로명,위도,경도
239,사상구,덕포동,,삼덕로74번길 14,,35.17330020,128.9838243
240,사상구,덕포동,,삼덕로 50-1,,35.17400088,128.9829616
241,사상구,덕포동,,삼덕로 50-1,,35.17399943,128.9830026
242,사상구,덕포동,,삼덕로 50-1,,35.17402892,128.9830067
243,사상구,덕포동,,삼덕로 56,,35.17396725,128.9835897
244,사상구,덕포동,,삼덕로 56,,35.17396467,128.9836310
245,사상구,덕포동,,삼덕로 56,,35.17399309,128.9836351
246,사상구,덕포동,,사상로 320,덕포로타리,35.17392790,128.9843956
247,사상구,덕포동,,사상로 320-1,덕포로타리,35.17393852,128.9843603
248,강서구,봉림동,,,,35.17733746,128.8825612
249,사상구,덕포동,,삼덕로74번길 14,덕포로타리,35.17390102,128.9843835
250,사상구,덕포동,,사상로 320,덕포로타리,35.17391321,128.9843482
251,사상구,덕포동,,사상로 320-1,,35.17428440,128.9840513
252,사상구,덕포동,,사상로 320-1,,35.17426181,128.9840456
253,사상구,덕포동,,사상로 320-1,덕포로타리,35.17423300,128.9840372
254,사상구,덕포동,,사상로 320-1,덕포로타리,35.17422506,128.9840703
255,사상구,덕포동,,사상로 320-1,,35.17452896,128.9841081
256,사상구,덕포동,,사상로 320-1,,35.17450637,128.9841025
257,사상구,덕포동,,사상로 320-1,,35.17447756,128.9840940
258,사상구,덕포동,,사상로 320-1,,35.17446962,128.9841271
259,사상구,덕포동,,사상로269번길 11-1,,35.16827730,128.9820850
260,사상구,덕포동,,사상로269번길 11-1,,35.16824785,128.9820778
261,사상구,덕포동,,사상로269번길 11-1,,35.16822291,128.9820735
262,사상구,덕포동,,사상로269번길 11-1,,35.16827987,128.9820510
263,사상구,덕포동,,사상로269번길 11-1,,35.16825041,128.9820437
264,사상구,덕포동,,사상로269번길 11-1,,35.16822548,128.9820395
265,사상구,덕포동,,사상로277번길 15-6,오약국,35.16875724,128.9822851
266,사상구,덕포동,,사상로277번길 15-6,오약국,35.16878541,128.9822934
267,사상구,덕포동,,사상로277번길 15-6,오약국,35.16880961,128.9822996
268,사상구,덕포동,,사상로277번길 15-6,오약국,35.16876612,128.9822508
269,사상구,덕포동,,사상로277번길 15-6,오약국,35.16879428,128.9822591
270,사상구,덕포동,,사상로277번길 15-6,오약국,35.16881848,128.9822653
271,사상구,덕포동,,사상로277번길 15-6,오약국,35.16935031,128.9823854
272,사상구,덕포동,,사상로 282,오약국,35.16932190,128.9823772
273,사상구,덕포동,,사상로 282,오약국,35.16929553,128.9823673
274,사상구,덕포동,,사상로 282-8,오약국,35.16935683,128.9823504
275,사상구,덕포동,,사상로 282-8,오약국,35.16932842,128.9823422
276,사상구,덕포동,,사상로 282,오약국,35.16930206,128.9823323
