id,sigun_gu,lat,lon,geom,facility_type
186,남구,129.1107265,35.13549677,,7
187,남구,129.1110532,35.13531026,,7
188,강서구,128.9840476,35.21056542,,7
189,부산진구,129.0308888,35.16369089,,7
190,강서구,128.9843675,35.21032485,,7
191,사상구,129.0010404,35.18570917,,7
192,사상구,128.9982881,35.18591979,,7
193,사상구,128.9985166,35.18566345,,7
194,남구,129.0727613,35.11014341,,7
195,남구,129.072798,35.10994423,,7
196,남구,129.0923252,35.10972871,,7
197,남구,129.0829183,35.1087593,,7
198,남구,129.0778991,35.10862755,,7
199,남구,129.0862386,35.10881658,,7
200,남구,129.082937,35.10860282,,7
201,남구,129.0916233,35.10966695,,7
202,남구,129.0791085,35.10853285,,7
203,영도구,129.0569826,35.09897329,,7
204,영도구,129.0609212,35.10228969,,7
205,영도구,129.0609321,35.10208518,,7
206,남구,129.0925301,35.10984848,,7
207,남구,129.0773747,35.11156463,,7
208,서구,129.0105642,35.12012848,,7
209,남구,129.105448,35.12996333,,7
210,남구,129.1032333,35.13054693,,7
211,동구,129.0592976,35.13443149,,7
212,남구,129.1032912,35.13070422,,7
213,남구,129.103737,35.13059688,,7
214,남구,129.1016611,35.13000149,,7
215,남구,129.1015711,35.12998368,,7
216,남구,129.1014822,35.13027101,,7
217,남구,129.1016561,35.13144433,,7
218,남구,129.1017038,35.13134786,,7
219,남구,129.1014578,35.13134979,,7
220,남구,129.101447,35.13160924,,7
221,남구,129.1001,35.13710485,,7
222,남구,129.1078434,35.13193297,,7
223,남구,129.1078361,35.13211012,,7
224,남구,129.1084089,35.13261349,,7
225,남구,129.108298,35.13275823,,7
226,부산진구,129.0525767,35.16342303,,7
227,남구,129.0950984,35.11559189,,7
228,부산진구,129.0506052,35.16271391,,7
229,부산진구,129.0503536,35.16234163,,7
230,연제구,129.09279,35.18590459,,7
231,서구,129.021828,35.09706454,,7
232,연제구,129.1118191,35.18447593,,7
233,동래구,129.0658306,35.21108999,,7
234,동래구,129.0659572,35.21081977,,7
235,동래구,129.0658564,35.21095637,,7
236,동래구,129.0659078,35.21087406,,7
237,부산진구,129.0490677,35.1671236,,7
238,부산진구,129.0490994,35.16721062,,7
239,부산진구,129.0336219,35.16484099,,7
240,부산진구,129.0310081,35.16399989,,7
241,부산진구,129.0307185,35.16349248,,7
242,수영구,129.1245057,35.16576905,,7
243,수영구,129.1093097,35.14435424,,7
244,수영구,129.1101462,35.14622553,,7
245,수영구,129.1131737,35.15732076,,7
246,수영구,129.1149203,35.16706983,,7
247,수영구,129.1147676,35.16742008,,7
248,수영구,129.115286,35.16706043,,7
249,수영구,129.1155261,35.16732085,,7
250,수영구,129.1149754,35.16764609,,7
251,수영구,129.1154225,35.16761714,,7
252,수영구,129.1152646,35.16750431,,7
253,수영구,129.1153285,35.16721486,,7
254,수영구,129.1149043,35.16733587,,7
255,수영구,129.1091079,35.14333705,,7
256,수영구,129.1093425,35.14350422,,7
257,남구,129.1050473,35.14018152,,7
258,남구,129.1052611,35.13999926,,7
259,남구,129.0957403,35.11361503,,7
260,남구,129.1058316,35.13974176,,7
261,남구,129.105835,35.13991718,,7
262,남구,129.1047572,35.13972729,,7
263,남구,129.1050574,35.1397247,,7
264,부산진구,129.0559558,35.1574753,,7
265,남구,129.0998378,35.13715422,,7
266,남구,129.0832382,35.13465451,,7
267,남구,129.0724837,35.13649987,,7
268,남구,129.1119651,35.12531605,,7
269,남구,129.1100239,35.12626839,,7
270,남구,129.1108653,35.12585719,,7
271,남구,129.1107662,35.125907,,7
272,남구,129.1088764,35.12670061,,7
273,남구,129.1086907,35.12689011,,7
274,남구,129.1087976,35.12669047,,7
275,남구,129.1077935,35.12782532,,7
276,남구,129.1073326,35.1282056,,7
277,남구,129.1060624,35.12931282,,7
278,남구,129.1122674,35.13489134,,7
279,남구,129.1164752,35.12967872,,7
280,남구,129.1064674,35.13021782,,7
281,남구,129.107092,35.13116028,,7
282,남구,129.1069301,35.13120905,,7
283,남구,129.103591,35.12854628,,7
284,남구,129.1037394,35.12847076,,7
285,남구,129.1058846,35.12934619,,7
286,남구,129.1056945,35.12942264,,7
287,남구,129.1054994,35.12941033,,7
288,남구,129.0983469,35.1215475,,7
289,남구,129.0985041,35.12151478,,7
290,남구,129.0986272,35.12170858,,7
291,부산진구,129.0552688,35.17092407,,7
292,남구,129.0985029,35.12107385,,7
293,남구,129.096732,35.11874234,,7
294,남구,129.0933455,35.11089783,,7
295,남구,129.0928037,35.11039562,,7
