구분,노선명,시점,종점,폭(m),길이(m)
길,고동골로28번길,부산광역시 남구 문현동 202-19 일원,부산광역시 남구 문현동 141-97 일원,8,223
길,고동골로36번가길,부산광역시 남구 문현동 183-90 일원,부산광역시 남구 문현동 127-29 일원,6,319
길,고동골로36번길,부산광역시 남구 문현동 183-16 일원,부산광역시 남구 문현동 183-88 일원,6,230
길,고동골로47번가길,부산광역시 남구 문현동 426-273 일원,부산광역시 남구 문현동 444-4 일원,3,200
길,고동골로47번길,부산광역시 남구 문현동 447-17 일원,부산광역시 남구 문현동 390-47 일원,4,323
길,고동골로4번길,부산광역시 남구 문현동 359-22 일원,부산광역시 남구 문현동 202-36 일원,6,115
길,고동골로59번길,부산광역시 남구 문현동 506-527 일원,부산광역시 남구 문현동 465-7 일원,5,491
길,고동골로60번길,부산광역시 남구 문현동 183-54 일원,부산광역시 남구 문현동 127-9 일원,8,204
길,고동골로69번가길,부산광역시 남구 문현동 506-237 일원,부산광역시 남구 문현동 산55-2 일원,5,504
길,고동골로69번길,부산광역시 남구 문현동 442-11 일원,부산광역시 남구 문현동 3-2 일원,9,806
길,고동골로72번길,부산광역시 남구 문현동 127-55 일원,부산광역시 남구 문현동 119-3 일원,6,386
길,고동골로78번길,부산광역시 남구 문현동 125-14 일원,부산광역시 남구 문현동 101-8 일원,12,509
길,고동골로97번길,부산광역시 남구 문현동 557-15 일원,부산광역시 남구 문현동 51-25 일원,11,497
길,남동천로72번길,부산광역시 남구 문현동 758-5 일원,부산광역시 남구 문현동 761-26 일원,2,110
길,남동천로76번길,부산광역시 남구 문현동 758-1 일원,부산광역시 남구 문현동 762-30 일원,2,119
길,남동천로78번길,부산광역시 남구 문현동 756-2 일원,부산광역시 남구 문현동 763-31 일원,2,125
길,당산로18번길,부산광역시 남구 우암동 92-5 일원,부산광역시 남구 우암동 117-2 일원,2,196
길,당산로94번길,부산광역시 남구 우암동 119-30 일원,부산광역시 남구 우암동 121-47 일원,4,149
길,돌산1길,부산광역시 남구 문현동 산23-3,부산광역시 남구 문현동 3,4,257
길,돌산2길,부산광역시 남구 문현동 산23-1,부산광역시 남구 문현동 산23-1,2,107
길,돌산3길,부산광역시 남구 문현동 산23-1,부산광역시 남구 문현동 산23-1,2,158
길,돌산4길,부산광역시 남구 문현동 2,부산광역시 남구 문현동 산22-1,4,214
길,돌산길,부산광역시 남구 문현동 산23-3,부산광역시 남구 문현동 산22-1,5,350
길,동명로100번길,부산광역시 남구 용호동 420-1 일원,부산광역시 남구 용호동 422-52 일원,8,326
길,동명로101번가길,부산광역시 남구 용호동 66-19 일원,부산광역시 남구 용호동 415-7 일원,6,149
길,동명로101번길,부산광역시 남구 용호동 416-16 일원,부산광역시 남구 용호동 40-1 일원,6,743
길,동명로101번나길,부산광역시 남구 용호동 51-17 일원,부산광역시 남구 용호동 41-27 일원,8,184
길,동명로101번다길,부산광역시 남구 용호동 41-17 일원,부산광역시 남구 용호동 39-2 일원,6,253
길,동명로105번길,부산광역시 남구 용호동 414-13 일원,부산광역시 남구 용호동 39-1 일원,8,582
길,동명로112번길,부산광역시 남구 용호동 409-1 일원,부산광역시 남구 용호동 422-67 일원,8,397
길,동명로117번길,부산광역시 남구 용호동 407-23 일원,부산광역시 남구 용호동 124 일원,9,450
