연번,참고지도,위도,경도,관리번호,수량,구_군,행정(읍_면_동),도로명_주소,설치장소명,구(지번)주소
70,다음지도,35.10067285,129.0311217,부산-4-중구-0047-3,,중구,광복동,광복중앙로 16,부산은행 신창지점(4대),광복동3가 4-1
71,다음지도,35.09995435,129.0352734,부산-4-중구-0048-0,4,중구,동광동,광복로97번길 16,우리은행 부산점 사거리(4대),동광동2가 6-6
72,다음지도,35.09995435,129.0352734,부산-4-중구-0048-1,,중구,동광동,광복로97번길 16,우리은행 부산점 사거리(4대),동광동2가 6-6
73,다음지도,35.09995435,129.0352734,부산-4-중구-0048-2,,중구,동광동,광복로97번길 16,우리은행 부산점 사거리(4대),동광동2가 6-6
74,다음지도,35.09995435,129.0352734,부산-4-중구-0048-3,,중구,동광동,광복로97번길 16,우리은행 부산점 사거리(4대),동광동2가 6-6
75,다음지도,35.1046689,129.0303545,부산-4-중구-0049,1,중구,대청동,중구로 86-1,새들맨션 맞은편,대청동4가 84-1
76,다음지도,35.10067285,129.0311217,부산-4-중구-0050,1,중구,중앙동,중앙대로 105,중부경찰서 앞,대창동1가 40
77,다음지도,35.10647608,129.0242747,부산-4-중구-0051,1,중구,보수동,흑교로78번안길 1,탑마트 보수점 앞(보수초등학교 후문 오거리),보수동1가 37-9
78,다음지도,35.10166554,129.0252496,부산-4-중구-0052,1,중구,부평동,흑교로 24-1,우리은행 부평동지점 맞은편(큰별예능어린이집),부평동2가 70-4
79,다음지도,35.10191157,129.0350397,부산-4-중구-0053,1,중구,중앙동,대청로138번길 12,GS25 중구용두점,중앙동2가 52-1
80,다음지도,35.10765823,129.0330606,부산-4-중구-0054,1,중구,동광동,중구로 121,중구청 앞 삼거리 (메리놀병원 주변),대청동4가 12-9
81,다음지도,35.10531977,129.0306366,부산-4-중구-0055,1,중구,대청동,중구로91번길 6,부광교회 앞 삼거리,대청동4가 35-3
82,다음지도,35.10733248,129.024932,부산-4-중구-0056,1,중구,보수동,흑교로78번안길 25-1,구름다리노인정 아래,보수동1가 33-63
83,다음지도,35.10005479,129.0244339,부산-4-중구-0057,1,중구,부평동,흑교로 5,부평로타리,부평동3가 54
84,다음지도,35.10885225,129.0313165,부산-4-중구-0058,1,중구,영주2동,망양로358번길 1,GS25 부산민주점(덕원중학교 옆),영주동 293-17
85,다음지도,35.11154283,129.0370531,부산-4-중구-0059,1,중구,영주1동,대영로242번길 6,영주시장입구 쉼터 앞(도경아파트),영주동 585
86,다음지도,35.09936476,129.0312044,부산-4-중구-0060-0,2,중구,광복동,광복로55번길 1,창선치안센터 삼거리(2대),창선동1가 30-6
87,다음지도,35.09936476,129.0312044,부산-4-중구-0060-1,,중구,광복동,광복로55번길 1,창선치안센터 삼거리(2대),창선동1가 30-6
88,다음지도,35.11276843,129.0316851,부산-4-중구-0061,1,중구,영주2동,동영로 87-1,글마루작은도서관 앞 (부산터널 위),영주동 95-13
89,다음지도,35.1050202,129.0349306,부산-4-중구-0062,1,중구,중앙동,중앙대로81번길 10-3,중앙동 소라계단 아래쪽 삼거리,중앙동4가 41
90,다음지도,35.10503509,129.0261088,부산-4-중구-0063,1,중구,보수동,법수길 21,대림이용원 앞,보수동1가 59-75
91,다음지도,35.09719205,129.0296428,부산-4-중구-0064-0,2,중구,남포동,자갈치로48번길 3,부창빌딩 앞 사거리(2대),남포동5가 104-1
92,다음지도,35.09719205,129.0296428,부산-4-중구-0064-1,,중구,남포동,자갈치로48번길 3,부창빌딩 앞 사거리(2대),남포동5가 104-1
93,다음지도,35.10594298,129.030822,부산-5-중구-0065,1,중구,대청동,중구로91번길 14,부산성모희보성당(어린이집) 뒷길,대청동4가 46-17
94,다음지도,35.10354287,129.0319413,부산-5-중구-0066,1,중구,대청동,복병산길 9-3,대성교회 옆,대청동1가 9-83
95,다음지도,35.10128946,129.0370693,부산-5-중구-0067,1,중구,중앙동,중앙대로42번길 2,남성해운 앞,중앙동6가 15
96,다음지도,35.09889689,129.0288736,부산-5-중구-0068,1,중구,남포동,비프광장로 33-1,피프광장,남포동3가 3-1
97,다음지도,35.10968595,129.0313097,부산-5-중구-0069,1,중구,영주2동,영주로 24,스파빅마트 영주점 옆,영주동 292-5
98,다음지도,35.11156172,129.033111,부산-5-중구-0070,1,중구,영주1동,동영로22번길 72,아기산새어린이집 앞 삼거리,영주동 488-1
99,다음지도,35.1131997,129.0331051,부산-5-중구-0071,1,중구,영주2동,초량상로7번길 20-2,영주아파트 1동 앞,영주동 73-14
100,다음지도,35.10976861,129.0300068,부산-5-중구-0072,1,중구,영주2동,망양로 371-7,중구노인일자리지원센터 맞은편(밀다원 맞은편),영주동 239-24
101,다음지도,35.09895459,129.0271754,부산-5-중구-0073,1,중구,부평동,광복로18번길 5-1,테라플레이스빌딩 뒷골목(부평족발골목 인근),부평동1가 42-50
102,다음지도,35.11261844,129.0360572,부산-5-중구-0074,1,중구,영주1동,초량중로5번길 1,새영주시장 안,영주동 51-1
103,다음지도,35.10138121,129.0287789,부산-5-중구-0075,1,중구,광복동,광복로35번길 23,델시가게 앞(국제시장 A3공구-4공구 사이골목),신창동3가 31-1
104,다음지도,35.10419193,129.0272202,부산-5-중구-0076,1,중구,보수동,보동길 1,태광보수빌라 옆,보수동1가 60-61
105,다음지도,35.108092,129.0354045,부산-5-중구-0077,1,중구,동광동,중구로 150-34,염광교회 골목,동광동5가 3-182
106,다음지도,35.09943823,129.028432,부산-5-중구-0078,1,중구,광복동,광복로 31,일진사약국 앞(SC은행 창선동지점 옆),창선동2가 22-2
107,다음지도,35.10687146,129.0248822,부산-5-중구-0079,1,중구,보수동,법수길 71,대림에이스 입구 주변(탐라빌라앞),보수동1가 41-25
108,다음지도,35.11033344,129.0363568,부산-5-중구-0080,1,중구,영주1동,대영로242번안길 3-8,태창하우스 맞은편(부산중앙그리스도의 교회 인근),영주동 640-20
109,다음지도,35.10576275,129.0279965,부산-5-중구-0081,1,중구,보수동,망양로307번길 3-2,중구종합사회복지관 옆 계단오르막길,보수동1가 59-315
110,다음지도,35.11026112,129.0358341,부산-5-중구-0082,1,중구,영주1동,대영로226번안길 10,신흥세탁소 앞,영주동 640-31
111,다음지도,35.10921517,129.036137,부산-5-중구-0083,1,중구,영주1동,중구로156번길 7,남양빌라 앞(힐사이드호텔 뒤편),영주동 743-12
112,다음지도,35.11383335,129.0349496,부산-5-중구-0084,1,중구,영주1동,배수지길 22,배수지주거지주차장 주변,영주동 4-10
113,다음지도,35.10495623,129.0216574,부산-5-중구-0085,1,중구,보수동,보수대로106번길 7,보수천변 공공쉼터 주변(한우뭉치 앞),보수동3가 15-5
114,다음지도,35.10853665,129.0264834,부산-5-중구-0086,1,중구,보수동,망양로319번길 24,보수아파트 1동 앞,보수동1가 산 3-148
115,다음지도,35.10741353,129.0344857,부산-5-중구-0087,1,중구,동광동,동광길93번길 6,동광새마을방범초소 옆,동광동5가 16-15
116,다음지도,35.10815675,129.0312773,부산-5-중구-0088,1,중구,대청동,망양로350번길 4,덕원중학교 옆 계단,대청동4가 6-15
117,다음지도,35.10231464,129.030351,부산-5-중구-0089,1,중구,광복동,광복중앙로 33,외한은행 대청동무인점 앞,신창동1가 1-3
118,다음지도,35.102211,129.0287364,부산-5-중구-0090,1,중구,광복동,중구로48번길 8-1,일신주차장 골목(부산숯불갈비),신창동3가 37-1
119,다음지도,35.11076138,129.037168,부산-5-중구-0091,1,중구,영주1동,중앙대로147번길 4,일신빌딩 앞 삼거리,영주동 609-23
120,다음지도,35.11396116,129.0318984,부산-5-중구-0092,1,중구,영주2동,영초길 77,영주2동 원로의집 옆,영주동 72-4
121,다음지도,35.10564896,129.0259102,부산-5-중구-0093,1,중구,보수동,법수길38번길 6,중보빌라6차 앞(태양빌라 아래 인근),보수동1가 59-23
122,다음지도,35.10404621,129.0322883,부산-5-중구-0094,1,중구,대청동,복병산길 31,남성초등학교 정문 앞 빌라,대청동1가 9-171
123,다음지도,35.11046181,129.0383696,부산-5-중구-0095,1,중구,중앙동,충장대로5번길 72,대한항공 부산지점 주변,중앙동4가 75-1
124,다음지도,35.10696996,129.0242458,부산-5-중구-0096,1,중구,보수동,흑교로78번안길 13-5,동남궁전빌라 앞,보수동1가 34-3
125,다음지도,35.10653384,129.0315934,부산-6-중구-0097,1,중구,대청동,중구로111번길 6,문정헤어샵 옆(경우골드빌라 인근),대청동4가 24-1
126,다음지도,35.10620049,129.024723,부산-6-중구-0098,1,중구,보수동,보수대로140번길 61,다사랑어린이집 옆(보수동주민센터 3층),보수동1가 48-2
127,다음지도,35.10044879,129.0264723,부산-6-중구-0099,1,중구,부평동,중구로29번길 23,부평동주민센터 옆,부평동1가 30-27
128,다음지도,35.11376913,129.0356883,부산-6-중구-0100,1,중구,영주1동,초량상로 17-1,우남이채롬APT 정문 옆,영주동 12-30
129,다음지도,35.11340886,129.0313802,부산-6-중구-0101,1,중구,영주2동,영주로78번길 22,라인빌라트빌라 옆(재건교회 인근),영주동 94-2
130,다음지도,35.10384054,129.0340733,부산-6-중구-0102,1,중구,대청동,대청로125번길 12-1,남성초등학교 입구(조은인쇄 옆 골목),동광동4가 17-1
131,다음지도,35.10236559,129.0227229,부산-6-중구-0103,1,중구,부평동,흑교로31번길 21-2,억수세탁소 옆,부평동4가 14-6
132,다음지도,35.11197425,129.0353777,부산-6-중구-0104,1,중구,영주1동,대영로 224,봉래초등학교 뒷편(육교앞),영주동 565-2
133,다음지도,35.10643736,129.0341214,부산-6-중구-0105,1,중구,동광동,샘길 45,남성초등학교 후문(할머니원로의집 앞),동광동5가 29-18
134,다음지도,35.09760269,129.0321612,부산-6-중구-0106,1,중구,남포동,구덕로 31,부산종합관광안내소 옆,남포동4가 18-2
135,다음지도,35.09760269,129.0321612,부산-6-중구-0106-01,3,중구,남포동,구덕로 31,부산종합관광안내소 옆,남포동4가 18-2
136,다음지도,35.09760269,129.0321612,부산-6-중구-0106-02,,중구,남포동,구덕로 31,부산종합관광안내소 옆,남포동4가 18-2
137,다음지도,35.09760269,129.0321612,부산-6-중구-0106-03,,중구,남포동,구덕로 31,부산종합관광안내소 옆,남포동4가 18-2
138,다음지도,35.10651496,129.0268007,부산-6-중구-0107,1,중구,보수동,망양로319번길 26,보수어린이집 앞,보수동1가 산 3-148
139,다음지도,35.10264923,129.026513,부산-6-중구-0108,1,중구,부평동,중구로53번길 13,NH농협 부평동지점 뒤편,부평동2가 7-2
140,다음지도,35.1002306,129.0357271,부산-6-중구-0109,1,중구,중앙동,중앙대로29번길 8,세정옷집 앞 사거리(남포지구대 주변),중앙동1가 25-2
141,다음지도,35.10562371,129.0310526,부산-6-중구-0110,1,중구,대청동,중구로97번길 5,봉생복지문화관 옆,대청동4가 43-12
142,다음지도,35.10339317,129.028774,부산-6-중구-0111,1,중구,대청동,중구로62번길 6,광일초 골목안(대청사거리 방향),대청동3가 6-2
143,다음지도,35.10779177,129.0346349,부산-6-중구-0112,1,중구,동광동,중구로148번길 12-8,힐타워 나동 맞은편(대동맨션 인근),동광동5가 3-123
144,다음지도,35.10411402,129.0281065,부산-6-중구-0113,1,중구,보수동,중구로75번길 22,해오름쉼터,보수동1가 146-13
145,다음지도,35.11369481,129.0338083,부산-6-중구-0114,1,중구,영주1동,영초길 104,영주배수지놀이시설,영주동 73-1
146,다음지도,35.11150745,129.028956,부산-6-중구-0115,1,중구,영주2동,망양로 393-11,동주파크맨션,영주동 214-9
147,다음지도,35.1050984,129.0324186,부산-6-중구-0116,1,중구,대청동,샘길 10,복병산체육공원,대청동1가 6-4
148,다음지도,35.10083022,129.0338286,부산-6-중구-0117,1,중구,동광동,중앙대로41번길 24,용두산공원(동광계단 출입구),동광동3가 47-4
149,다음지도,35.10369924,129.0239429,부산-6-중구-0118,1,중구,보수동,흑교로51번길 10,보수쉼터 인근(건영화물 앞),보수동2가 102
150,다음지도,35.11148565,129.0337507,부산-6-중구-0119,1,중구,영주1동,중구로185번길 7,영주쉼터,영주동 522-1
151,다음지도,35.10826929,129.0304768,부산-6-중구-0120,1,중구,대청동,망양로355번길 10,아성주택 윗길,대청동4가 2-176
152,다음지도,35.11060145,129.032739,부산-6-중구-0121,1,중구,영주2동,영주로6번안길 3,그린빌라 앞(중구노인복지분관 인근),영주동 287-3
153,다음지도,35.10148351,129.0303386,부산-6-중구-0122,1,중구,광복동,광복로49번길 26,로데오갤러리(국제시장),신창동1가 5-4
154,다음지도,35.10334863,129.0307604,부산-6-중구-0123,1,중구,대청동,대청로99번길 5-1,부산주교좌성당 입구,대청동4가 94
155,다음지도,35.10653302,129.032852,부산-6-중구-0124,1,중구,대청동,샘길12,동광원로의집 앞(중구청 아래),대청동1가 6-27
156,다음지도,35.09880677,129.0268538,부산-6-중구-0125,1,중구,부평동,광복로18번길 10,테라플레이스빌딩 뒷골목(일광집 가게 앞),부평동1가 42-36
157,다음지도,35.1125776,129.0368787,부산-6-중구-0126,1,중구,영주1동,초량중로6번길 13,새영주시장 인근(골드캐슬 앞),영주동 20-1
158,다음지도,35.10052588,129.0244209,부산-6-중구-0127,1,중구,부평동,보수대로36번길 5-1,태원주차장 앞,부평동3가 58-1
159,다음지도,35.10790723,129.0335274,부산-7-중구-0128,1,중구,동광동,동영로10번길 4,명중원룸 옆,동광동5가 12-90
160,다음지도,35.10595671,129.0349737,부산-7-중구-0129,1,중구,동광동,동광길 74,밀레니엄PC방,중앙동4가 40-20
161,다음지도,35.10410342,129.0307572,부산-7-중구-0130,1,중구,대청동,대청로99번길 14-1,대청동주민센터 앞,대청동2가 2-2
162,다음지도,35.10660355,129.0303916,부산-7-중구-0131,1,중구,대청동,대청북길33번길 3,서라벌맨션 앞,대청동4가 67-1
163,다음지도,35.10394106,129.0291522,부산-7-중구-0132,1,중구,대청동,중구로 74,광일초교 횡단보도 앞,대청동4가 95
164,다음지도,35.1033397,129.0261792,부산-7-중구-0133,1,중구,보수동,대청로 57-16,보수동 어린이도서관,보수동1가 125-5
165,다음지도,35.10148932,129.0244694,부산-7-중구-0134,1,중구,부평동,흑교로21번길 6-1,진주집 맞은편,부평동3가 68-12
166,다음지도,35.09941084,129.0264329,부산-7-중구-0135,1,중구,부평동,광복로 12,원조한양족발,부평동1가 40-2
167,다음지도,35.09932784,129.0305839,부산-7-중구-0136,1,중구,광복동,광복로 49,광복동KFC 옆,창선동1가 26
168,다음지도,35.10035423,129.0296992,부산-7-중구-0137,1,중구,광복동,광복로43번길 12,신생아파트 앞,신창동2가 21-2
