번호,시군구명,동명,도로명,교차로명,경도,위도
218,동구,좌천동,,신수정약국,129.0491782,35.1307869
219,동구,수정동,,초량서중 앞,129.0375165,35.12553008
220,동래구,사직동,,예원초등학교 앞,129.0577421,35.19506087
221,동래구,사직동,쇠미로 72,사직중학교,129.0534242,35.19867272
222,동구,범일동,,서광교회 앞,129.0510878,35.14043226
223,동구,범일동,,서광교회 앞,129.0511096,35.14045081
224,해운대구,반송동,,아랫반송로 82번길,129.1523162,35.22122118
225,남구,문현동,고동골로78번길 12,대흥천보약국(문현초교 옆),129.0712715,35.1439109
226,해운대구,반송동,,운봉한의원,129.1495814,35.224039
227,해운대구,반여동,선수촌로 65-7,파리바게트 반여한화점,129.1186368,35.19879194
228,해운대구,반여동,,메가센텀(꿈에그린 후문),129.1205085,35.19933439
229,해운대구,반여동,,메가센텀(꿈에그린 후문),129.1205414,35.19929806
230,해운대구,반여동,,송보자유아파트,129.1185403,35.20536593
231,해운대구,재송동,해운대로81번가길 32,우신아파트앞,129.1252443,35.19101781
232,해운대구,재송동,해운대로81번가길 63,재송현대아파트 후문,129.1236676,35.19102769
233,해운대구,재송동,,재송KT전화국,129.1274552,35.19039796
234,해운대구,재송동,재송2로28번가길 12,여명유치원,129.1307126,35.19124496
235,동래구,명장동,,안락중앙교회(반안중),129.111587,35.20470712
236,해운대구,반여동,재반로270번길 13,반여도서관입구,129.1317564,35.20251936
237,해운대구,반여동,재반로270번길 13,반여도서관입구,129.13173,35.2025338
238,해운대구,반여동,재반로270번길 13,반여3동 육교(반여우체국),129.1316815,35.20139379
239,해운대구,재송동,,우신아파트 아래,129.1262703,35.19030298
240,동래구,명장동,,명장초교앞,129.0972908,35.20754811
241,동래구,명장동,,아성유치원입구앞(사진없음),129.0926602,35.21416059
242,동래구,명장동,반송로 255-1,삼성타운상가 앞,129.1006622,35.20250776
243,동래구,명장동,,명장새마을금고 앞,129.1014975,35.20354349
244,동래구,명장동,,명장새마을금고 앞,129.1015062,35.20350664
245,동래구,명장동,,진흥상가맨션 앞,129.1045618,35.20071656
246,동래구,사직동,석사북로 42,유성빌라(센스헤어샵),129.0627033,35.20137718
247,동래구,온천동,아시아드대로 232,금강초교 후문(온천 2PB),129.0642098,35.20354175
248,남구,대연동,,시설공단,129.0897148,35.14994763
249,동래구,온천동,아시아드대로 232,금강초교 후문(온천 2PB),129.0642133,35.20357255
250,동래구,온천동,아시아드대로 232,신수탕,129.065484,35.20548624
251,부산진구,당감동,,당감주공아파트1단지,129.0256401,35.17201972
252,해운대구,반송동,,반송적조암,129.1542276,35.22950549
253,부산진구,당감동,,당감주공아파트1단지,129.0256445,35.17205248
254,부산진구,당감동,당감서로 137,당감소방서 밑,129.029391,35.17119715
255,부산진구,개금동,,신개금 LG아파트,129.0183903,35.15521314
256,부산진구,개금동,,신개금 LG아파트,129.018351,35.15522117
257,부산진구,개금동,,신개금 LG아파트,129.0185041,35.15536074
258,부산진구,개금동,,신개금 LG아파트,129.0184644,35.15537246
259,영도구,신선동2가,영상고뒷길 21,부산영상예술고등학교,129.0458199,35.08499863
260,서구,서대신동3가,보수대로320번길 11,유진대림아파트입구,129.0113699,35.12047659
261,중구,영주동,영주로 51,금호아파트(1),129.0306586,35.11117555
262,영도구,동삼동,,부산체육고등학교,129.0666312,35.07110593
263,영도구,동삼동,해양로301번길 23,영도마린축구장,129.0770389,35.08065
264,해운대구,우동,,BEXCO,129.134849,35.16645843
265,영도구,동삼동,,동삼3동우체국,129.0673552,35.08451713
266,서구,아미동2가,까치고개로197번길 33-32,아미초교,129.0165907,35.0986301
267,서구,아미동2가,까치고개로 125-4,까치고개입구삼거리,129.0116765,35.10130554
268,서구,남부민동,,천마초교,129.0178297,35.08302552
269,서구,남부민동,천해로 17-1,천마초교,129.0177852,35.08300196
270,남구,용호동,,신선대주차장,129.1043623,35.10646853
