번호,시군구명,동명,리명,도로명,교차로명,경도,위도
213,사상구,엄궁동,,,,128.9711590,35.13007735
214,사상구,엄궁동,,,엄궁동사무소,128.9706188,35.12935529
215,사상구,엄궁동,,,엄궁동사무소,128.9705416,35.12939968
216,사상구,엄궁동,,,엄궁동사무소,128.9705715,35.12938869
217,사상구,엄궁동,,,엄궁동사무소,128.9705937,35.12937275
218,사상구,엄궁동,,,,128.9703338,35.12884839
219,사상구,엄궁동,,,,128.9703117,35.12886370
220,사상구,엄궁동,,,,128.9702779,35.12887995
221,사상구,엄궁동,,,,128.9699252,35.12863471
222,사상구,엄궁동,,,,128.9699598,35.12862152
223,사상구,엄궁동,,,,128.9699835,35.12860339
224,사상구,엄궁동,,낙동대로 733,,128.9698992,35.12837605
225,사상구,엄궁동,,낙동대로 733,,128.9699243,35.12836063
226,사상구,엄궁동,,낙동대로 733,,128.9699494,35.12834756
227,사상구,엄궁동,,낙동대로 733,,128.9695333,35.12806695
228,사상구,엄궁동,,낙동대로 733,,128.9695648,35.12805185
229,사상구,엄궁동,,낙동대로 733,,128.9695905,35.12803731
230,사상구,모라동,,,,128.9873709,35.18689564
231,사상구,덕포동,,백양대로 682,,128.9887375,35.16810909
232,사상구,덕포동,,백양대로 682,,128.9887051,35.16810569
233,사상구,덕포동,,백양대로 682,,128.9886727,35.16810260
234,사상구,덕포동,,운산로 109,,128.9885707,35.16785158
235,사상구,덕포동,,운산로 109,,128.9886107,35.16777097
236,사상구,주례동,,가야대로 326-11,,129.0079238,35.15099302
237,사상구,주례동,,가야대로 326-11,,129.0071600,35.15090000
238,사상구,주례동,,가야대로 326-11,,129.0078364,35.15095669
239,사상구,주례동,,가야대로 326-11,,129.0077278,35.15092166
240,사상구,주례동,,가야대로 326-11,,129.0071570,35.15092836
241,사상구,주례동,,가야대로 326-11,,129.0071665,35.15087117
242,사상구,주례동,,,주례여중,129.0061457,35.15087042
243,사상구,주례동,,,주례여중,129.0061487,35.15084280
244,사상구,주례동,,,주례여중,129.0061561,35.15081468
245,사상구,주례동,,,주례여중,129.0061610,35.15078807
246,사상구,주례동,,,주례여중,129.0057231,35.15067408
247,사상구,삼락동,,,,128.9701628,35.15268376
248,사상구,주례동,,,주례여중,129.0057231,35.15064404
249,사상구,주례동,,,주례여중,129.0057297,35.15061794
250,사상구,주례동,,,주례여중,129.0057591,35.15055981
251,사상구,주례동,,,,129.0049268,35.15064074
252,사상구,주례동,,,,129.0043401,35.15059102
253,사상구,주례동,,가야대로 278-1,,129.0038437,35.15051912
254,사상구,주례동,,가야대로 278-1,,129.0037670,35.15048181
255,사상구,주례동,,가야대로 278-1,,129.0037006,35.15044624
256,사상구,주례동,,가야대로 278-1,,129.0038909,35.15068165
257,사상구,주례동,,,,129.0040266,35.15073168
258,사상구,주례동,,가야대로 278-1,,129.0037196,35.15064499
259,사상구,주례동,,,,129.0034704,35.15056355
260,사상구,주례동,,,,129.0035916,35.15060658
261,사상구,주례동,,가야대로 278-1,,129.0033298,35.15067279
262,사상구,감전동,,사상로147번길 16,,128.9903906,35.15320336
263,사상구,감전동,,사상로147번길 16,,128.9903312,35.15321979
264,사상구,감전동,,사상로147번길 16,,128.9903580,35.15321199
265,사상구,감전동,,학감대로 231,사상구청,128.9900971,35.15242985
266,사상구,감전동,,학감대로 231,사상구청,128.9900685,35.15243853
267,사상구,감전동,,학감대로 231,사상구청,128.9900347,35.15244678
268,사상구,감전동,,학감대로221번길 10,사상구청,128.9900822,35.15193302
269,사상구,감전동,,학감대로221번길 10,사상구청,128.9900469,35.15194080
270,사상구,감전동,,학감대로221번길 10,사상구청,128.9900148,35.15194642
271,사상구,감전동,,학감대로221번길 10,사상구청,128.9899895,35.15195592
272,사상구,감전동,,학감대로 231,,128.9896404,35.15099578
273,사상구,감전동,,학감대로 229,,128.9897271,35.15097207
274,사상구,감전동,,학감대로 231,,128.9896672,35.15098630
275,사상구,감전동,,학감대로 229,,128.9897014,35.15098199
276,사상구,괘법동,,,,128.9908863,35.16430667
277,사상구,괘법동,,백양대로646번길 17,,128.9910336,35.16418345
278,사상구,괘법동,,,,128.9909355,35.16426962
279,사상구,괘법동,,백양대로646번가길 1,,128.9909804,35.16421304
280,사상구,감전동,,새벽시장로9번길 35,괘법동산업교앞,128.9743017,35.15766251
281,사상구,삼락동,,새벽시장로9번길 35,,128.9745512,35.15907020
282,사상구,삼락동,,새벽시장로9번길 35,,128.9745652,35.15898966
283,사상구,괘법동,,새벽시장로9번길 35,,128.9744659,35.15867469
284,사상구,괘법동,,새벽시장로9번길 35,괘법동산업교앞,128.9743028,35.15814081
285,사상구,삼락동,,,,128.9701694,35.15271297
286,사상구,괘법동,,새벽시장로9번길 35,괘법동산업교앞,128.9742858,35.15808278
287,사상구,괘법동,,새벽시장로9번길 35,괘법동산업교앞,128.9741920,35.15810855
288,사상구,괘법동,,새벽시장로9번길 35,괘법동산업교앞,128.9742548,35.15809352
289,사상구,괘법동,,새벽시장로9번길 35,괘법동산업교앞,128.9742198,35.15810168
290,사상구,감전동,,새벽시장로9번길 35,괘법동산업교앞,128.9742081,35.15769053
291,사상구,감전동,,새벽시장로9번길 35,괘법동산업교앞,128.9742413,35.15767860
292,사상구,감전동,,새벽시장로9번길 35,괘법동산업교앞,128.9742709,35.15766966
293,사상구,감전동,,새벽시장로9번길 35,,128.9739766,35.15739414
294,사상구,감전동,,새벽시장로9번길 35,,128.9739275,35.15720505
295,사상구,감전동,,새벽시장로9번길 35,,128.9740033,35.15734734
296,사상구,감전동,,새벽시장로9번길 35,,128.9740135,35.15727564
297,사상구,감전동,,새벽시장로9번길 35,,128.9740257,35.15720378
298,사상구,감전동,,사상로147번길 16,,128.9736983,35.15599336
299,사상구,감전동,,사상로147번길 16,,128.9737058,35.15590114
300,사상구,감전동,,사상로147번길 16,,128.9737144,35.15582707
301,사상구,감전동,,사상로147번길 16,,128.9737281,35.15575455
302,사상구,주례동,,주감로 150,주례1동굴다리,128.9960012,35.15214340
303,사상구,주례동,,주감로 150,주례1동굴다리,128.9960247,35.15216385
304,사상구,주례동,,사상로 43-1,주례1동굴다리,128.9961193,35.15217412
305,사상구,주례동,,사상로35번길 6,주례1동굴다리,128.9965431,35.15193121
306,사상구,주례동,,가야대로213번길 14,주례1동굴다리,128.9964375,35.15194692
307,사상구,주례동,,가야대로213번길 14,주례1동굴다리,128.9964609,35.15196873
308,사상구,주례동,,사상로 37,주례1동굴다리,128.9965257,35.15190291
309,사상구,괘법동,,광장로81번길 93-7,,128.9825163,35.16654264
310,사상구,괘법동,,사상로243번길 9-1,,128.9827665,35.16589538
311,사상구,괘법동,,사상로243번길 9-1,,128.9828310,35.16584103
312,사상구,덕포동,,사상로269번길 7,,128.9820117,35.16802202
313,사상구,덕포동,,사상로 267,,128.9820428,35.16801476
314,사상구,덕포동,,운산로 45,사상초교,128.9821013,35.16759466
315,사상구,덕포동,,운산로 45,사상초교,128.9821361,35.16759835
316,사상구,덕포동,,운산로 49,사상초교,128.9821148,35.16726731
317,사상구,덕포동,,운산로 65,,128.9822819,35.16711908
318,사상구,덕포동,,운산로 65,,128.9822478,35.16710509
319,사상구,덕포동,,사상로 320-1,,128.9809295,35.17417020
320,사상구,덕포동,,사상로 320-1,,128.9822338,35.17406668
321,사상구,덕포동,,사상로 320-1,,128.9822365,35.17403895
322,사상구,모라동,,,,128.9911077,35.18533088
323,사상구,모라동,,,모라주공2단지,128.9944779,35.18572585
324,사상구,모라동,,,모라주공2단지,128.9944308,35.18572749
325,사상구,모라동,,,모라주공2단지,128.9943963,35.18573174
326,사상구,감전동,,백양대로547번길 68,현길빌라,128.9927438,35.15833936
327,사상구,감전동,,백양대로547번길 68,현길빌라,128.9928059,35.15836441
328,사상구,감전동,,백양대로547번길 68,현길빌라,128.9927749,35.15834893
329,사상구,감전동,,백양대로 563,현길빌라,128.9931543,35.15814053
330,사상구,감전동,,백양대로 563,,128.9931321,35.15812384
331,사상구,감전동,,,,128.9931002,35.15810987
332,사상구,감전동,,,,128.9930777,35.15809726
333,사상구,감전동,,백양대로 563,,128.9931316,35.15802914
334,사상구,감전동,,백양대로 563,,128.9931420,35.15792238
335,사상구,감전동,,백양대로 563,,128.9931982,35.15790407
336,사상구,감전동,,,,128.9940418,35.15700637
337,사상구,감전동,,,,128.9942093,35.15689821
338,사상구,감전동,,,,128.9941490,35.15692020
339,사상구,엄궁동,,,엄궁농협화훼단지,128.9648326,35.13244574
340,사상구,엄궁동,,,엄궁농협화훼단지,128.9648044,35.13245549
341,사상구,엄궁동,,,엄궁농협화훼단지,128.9647654,35.13246168
342,사상구,엄궁동,,,엄궁농협화훼단지,128.9647276,35.13247200
343,사상구,엄궁동,,,엄궁농협화훼단지,128.9648895,35.13195788
344,사상구,엄궁동,,,엄궁농협화훼단지,128.9648559,35.13196470
345,사상구,엄궁동,,,엄궁농협화훼단지,128.9648249,35.13197639
346,사상구,엄궁동,,,엄궁농협화훼단지,128.9647865,35.13198350
347,사상구,엄궁동,,,엄궁농협화훼단지,128.9647536,35.13198908
348,사상구,엄궁동,,강변대로 512,,128.9645161,35.13082375
349,사상구,엄궁동,,강변대로 512,,128.9644300,35.13102535
350,사상구,엄궁동,,강변대로 512,,128.9644502,35.13096747
351,사상구,엄궁동,,강변대로 512,,128.9644679,35.13091161
352,사상구,엄궁동,,강변대로 512,,128.9644881,35.13085637
353,사상구,엄궁동,,강변대로 512,,128.9637837,35.12928960
354,사상구,엄궁동,,강변대로 512,,128.9636453,35.12920616
355,사상구,엄궁동,,강변대로 512,,128.9636581,35.12913001
356,사상구,엄궁동,,농산물시장로9번길 11,,128.9636678,35.12904867
357,사상구,엄궁동,,농산물시장로9번길 11,,128.9636703,35.12894762
358,사상구,엄궁동,,농산물시장로9번길 11,농산물도매시장3거리,128.9636031,35.12874405
